artist,track,mood_tags
Beach House,Space Song,"Dark,Moody"
quannnic,life imitates life,"Dark,Moody"
$uicideboy$,Drugs/Hoes/Money/Etc.,"Dark,Moody"
Xavier Wulf,Smoke,"Dark,Moody"
Max Fry,zombie,"Dark,Moody"
Three 6 Mafia,Late Night Tip,"Dark,Moody"
$uicideboy$,Matte Black,"Dark,Moody"
Kanye West,FML,"Dark,Moody"
Kendrick Lamar,Poe Mans Dreams (His Vice) (feat. GLC),"Dark,Moody"
Billie Eilish,CHIHIRO,"Dark,Moody"
PinkPantheress,Pain,"Dark,Moody"
Frank Ocean,Pink + White,"Dark,Moody"
Gorillaz,Empire Ants (feat. Little Dragon),"Dark,Moody"
Amira Elfeky,Tonight (demo),"Dark,Moody"
flyingfish,lunar eclipse,"Dark,Moody"
KJUNTO,Wasted,"Dark,Moody"
Tame Impala,Powerlines,"Dark,Moody"
070 Shake,Guilty Conscience - Tame Impala Remix Extended,"Dark,Moody"
Deftones,Sextape,"Dark,Moody"
"Tyler, The Creator",She,"Dark,Moody"
Danny Brown,25 Bucks (feat. Purity Ring),"Dark,Moody"
Jorja Smith,On My Mind (Jorja Smith X Preditah),"Dark,Moody"
Joey Bada$$,Waves,"Dark,Moody"
Joey Bada$$,Show Me,"Dark,Moody"
Westside Gunn,"327 (feat. Tyler, The Creator & Billie Essco)","Dark,Moody"
The xx,Intro,"Dark,Moody"
A$AP Rocky,HIGHJACK,"Dark,Moody"
The Pharcyde,Runnin',"Dark,Moody"
Nappy Roots,No Static (feat. Greg Nice),"Dark,Moody"
TOKiMONSTA,Realla,"Dark,Moody"
piri,on & on,"Dark,Moody"
Mac Miller,Fight the Feeling (feat. Kendrick Lamar & Iman Omari),"Dark,Moody"
Mac Miller,1 Threw 8,"Dark,Moody"
ScHoolboy Q,Hell Of A Night,"Dark,Moody"
Joey Bada$$,Shine,"Dark,Moody"
21 Savage,Rich Nigga Shit (feat. Young Thug),"Dark,Moody"
Ark Patrol,Let Go,"Dark,Moody"
Novulent,scars,"Dark,Moody"
Deftones,Cherry Waves,"Dark,Moody"
Trippie Redd,Taking A Walk,"Dark,Moody"
Ark Patrol,Sinner,"Dark,Moody"
Harry Styles,American Girls,"Dark,Moody"
Chromatics,Shadow,"Dark,Moody,Sad"
Phantogram,When I'm Small,"Dark,Moody"
SOHN,Ransom Notes,"Dark,Moody"
Kid Cudi,DROWN,"Dark,Moody"
Ab-Soul,Terrorist Threats (feat. Danny Brown & Jhene Aiko),"Dark,Moody"
4batz,act iii: on god? (she like),"Dark,Moody"
Drake,With You,"Dark,Moody"
Men I Trust,Tailwhip,"Dark,Moody"
Modest Mouse,Float On,"Happy,Sunny"
Frank Ocean,Lost,"Happy,Sunny"
The Beach Boys,Wouldn't It Be Nice - Remastered 1999,"Happy,Sunny"
boygenius,Not Strong Enough,"Happy,Sunny"
PinkPantheress,Boy's a liar Pt. 2,"Happy,Sunny"
Lana Del Rey,Doin' Time,"Happy,Sunny"
Childish Gambino,Feels Like Summer,"Happy,Sunny"
"Tyler, The Creator",I THINK,"Happy,Love,Sunny"
Hippo Campus,Suicide Saturday,"Happy,Sunny"
The Strokes,What Ever Happened?,"Happy,Sunny"
Magdalena Bay,Dreamcatching,"Happy,Sunny"
DJ Khaled,Just Us (feat. SZA),"Happy,Sunny"
Underoath,Reinventing Your Exit,"Happy,Sunny"
The Game,Hate It Or Love It,"Happy,Sunny"
AWOLNATION,Flagpole Sitta (feat. Elohim),"Happy,Sunny"
Mac Miller,Love Lost,"Happy,Love,Sunny"
Tame Impala,No Choice,"Happy,Sunny"
Cafuné,Tek It,"Happy,Sunny"
Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),"Happy,Sunny"
Nicki Minaj,Seeing Green (with Drake & Lil Wayne),"Happy,Sunny"
The Strokes,Machu Picchu,"Happy,Sunny"
Lil Yachty,running out of time,"Happy,Sunny"
Cage The Elephant,Trouble,"Happy,Sunny"
Wallows,Pleaser,"Happy,Sunny"
Beck,Girl,"Happy,Love,Sunny"
of Montreal,Wraith Pinned to the Mist and Other Games,"Happy,Sunny"
The All Seeing I,Beat Goes On,"Happy,Sunny"
JAŸ-Z,Run This Town,"Happy,Sunny"
Unknown Mortal Orchestra,Like Acid Rain,"Happy,Sunny"
Rihanna,Consideration,"Happy,Sunny"
Twenty One Pilots,Semi-Automatic,"Happy,Sunny"
Gorillaz,Humility (feat. George Benson),"Happy,Sunny"
blink-182,Feeling This,"Happy,Sunny"
Childish Gambino,Lights Turned On,"Happy,Sunny"
The 1975,Chocolate,"Happy,Sunny"
Foster The People,Miss You,"Happy,Love,Sunny"
Saint Motel,Sweet Talk,"Happy,Love,Sunny"
Saint Motel,Cold Cold Man,"Happy,Sunny"
Mother Mother,Problems,"Happy,Sunny"
Glass Animals,Pools,"Happy,Sunny"
Gorillaz,Severed Head (feat. Goldlink and Unknown Mortal Orchestra),"Happy,Sunny"
Kanye West,Paranoid,"Happy,Sunny"
Miley Cyrus,Heart Of Glass (Live from the iHeart Festival),"Happy,Sunny"
Future,Life Is Good (feat. Drake),"Happy,Sunny"
Oliver Tree,Again & Again,"Happy,Sunny"
Gorillaz,Désolé (feat. Fatoumata Diawara) - Extended Version,"Happy,Sunny"
The Temper Trap,Sweet Disposition,"Happy,Sunny"
Gorillaz,Stylo (feat. Mos Def and Bobby Womack),"Happy,Sunny"
Gorillaz,On Melancholy Hill,"Happy,Love,Sunny"
Broken Bells,Good Luck,"Happy,Sunny"
Kendrick Lamar,For Sale? - Interlude,"Happy,Sunny"
GROUPLOVE,Deadline,"Happy,Sunny"
JAŸ-Z,Lift Off,"Happy,Sunny"
Cage The Elephant,Mess Around,"Happy,Sunny"
The Black Keys,Lonely Boy,"Happy,Sunny"
A$AP Rocky,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)","Happy,Sunny"
Broken Bells,After the Disco,"Happy,Sunny"
Bell Biv DeVoe,Poison,"Happy,Sunny"
Empire Of The Sun,Standing On The Shore,"Happy,Sunny"
Wallows,Sun Tan,"Happy,Sunny"
Calvin Harris,New Money (with 21 Savage),"Happy,Sunny"
AWOLNATION,Not Your Fault,"Happy,Sunny"
Kendrick Lamar,Die Hard,"Happy,Sunny"
The Voidz,Leave It In My Dreams,"Happy,Sunny"
Beck,E-Pro,"Happy,Sunny"
The Black Keys,Everlasting Light,"Happy,Sunny"
boygenius,$20,"Happy,Sunny"
Cage The Elephant,In One Ear,"Happy,Sunny"
Coldplay,Clocks,"Happy,Sunny"
The Distillers,Beat Your Heart Out,"Happy,Love,Sunny"
DRAM,Broccoli,"Happy,Sunny"
Empire Of The Sun,Way To Go,"Happy,Sunny"
Escape the Fate,Not Good Enough For Truth In Cliché,"Happy,Sunny"
Florence + The Machine,Dog Days Are Over,"Happy,Sunny"
Che,frank ocean,"Happy,Sunny"
Frank Ocean,Swim Good,"Happy,Sunny"
Gorillaz,5/4,"Happy,Sunny"
Gorillaz,19-2000 - Soulchild Remix,"Happy,Sunny"
Jaden,Summertime In Paris,"Happy,Love,Sunny"
Kings of Leon,Supersoaker,"Happy,Sunny"
Kings of Leon,Waste A Moment,"Happy,Sunny"
Lil Wayne,Sorry 4 The Wait,"Happy,Sunny"
Muse,Plug in Baby,"Happy,Sunny"
