artist,track,decision
Gorillaz,Tomorrow Comes Today,remove
Kanye West,POWER,keep
Kendrick Lamar,Poetic Justice,keep
Twenty One Pilots,Heavydirtysoul,keep
Twenty One Pilots,My Blood,remove
AWOLNATION,All I Need,remove
The Crystal Method,Born Too Slow,keep
Drake,A Keeper,keep
Kanye West,Dark Fantasy,keep
Kendrick Lamar,FEEL.,remove
Phantogram,When I'm Small,keep
Tame Impala,Ethereal Connection,keep
Childish Gambino,3005,keep
Gorillaz,Orchestral Intro,remove
Jordana,Better in the Dark,remove
Kanye West,Can't Tell Me Nothing,keep
Kanye West,Ghost Town,remove
Kanye West,Good Morning,maybe
Kanye West,Jesus Walks,maybe
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",keep
Kid Cudi,Pursuit of Happiness (Nightmare),remove
Mac Miller,Dang! (feat. Anderson .Paak),maybe
Nicki Minaj,Super Bass,keep
Twenty One Pilots,Levitate,remove
Twenty One Pilots,Smithereens,remove
"Tyler, The Creator",See You Again (feat. Kali Uchis),remove
50 Cent,Many Men (Wish Death),keep
Childish Gambino,I. The Worst Guys,keep
The Game,Hate It Or Love It,remove
Gorillaz,The God of Lying (feat. IDLES),keep
Kanye West,All of the Lights,keep
Kanye West,Everything I Am,remove
Kanye West,Homecoming,remove
Kanye West,Paranoid,remove
Kanye West,Roses,remove
Kanye West,Spaceship,remove
Kanye West,Through the Wire,remove
Kanye West,We Don't Care,remove
Kid Cudi,Mr. Rager,remove
Mac Miller,My Favorite Part,remove
Martin Solveig,Hey Now (Feat. Kyle) - Single Mix,keep
PinkPantheress,Boy's a liar Pt. 2,remove
Piri,on & on,keep
Tame Impala,Not My World,keep
Tame Impala,Oblivion,keep
Twenty One Pilots,Morph,remove
Twenty One Pilots,The Hype,remove
"Tyler, The Creator",Don't You Worry Baby (feat. Madison McFerrin),keep
The Avalanches,Frontier Psychiatrist,remove
Björk,Human Behaviour,remove
Black Eyed Peas,I Gotta Feeling,keep
Black Eyed Peas,Meet Me Halfway,remove
Calvin Harris,Sweet Nothing (feat. Florence Welch),keep
Channel Tres,Topdown,keep
Childish Gambino,Heartbeat,keep
Clipse,Chains & Whips,keep
Clipse,So Be It,keep
Cobra Starship,You Make Me Feel... (feat. Sabi),keep
Crystal Castles,Vanished,maybe
David Guetta,Sexy Bitch (feat. Akon),keep
Doechii,"girl, get up. (Feat. SZA)",remove
Doja Cat,Like That (feat. Gucci Mane),keep
Doja Cat,Say So,keep
Drake,Find Your Love,keep
Drake,Headlines,keep
Estelle,American Boy,keep
Gnarls Barkley,Crazy,remove
Gorillaz,Intro,remove
Gorillaz,M1 A1,remove
Gorillaz,Man Research (Clapper),remove
Gorillaz,Pirate Jet,remove
Gorillaz,Sound Check (Gravity),remove
Gucci Mane,Wake Up in the Sky,keep
Halsey,Alone,remove
Halsey,Angel On Fire - Bonus Track,remove
Hayley Williams,Ego Death At A Bachelorette Party,remove
Ice Cube,It Was A Good Day,keep
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,remove
Jack Harlow,First Class,keep
Kanye West,Addiction,keep
Kanye West,All Falls Down,keep
Kanye West,Devil in a New Dress,keep
Kanye West,Drive Slow,keep
Kanye West,Family Business,keep
Kanye West,Gold Digger,keep
Kanye West,Hey Mama,maybe
Kanye West,Last Call,remove
Kanye West,Lost in the World,keep
Kanye West,Never Let Me Down,remove
Kanye West,Runaway,keep
Kanye West,Street Lights,keep
Kanye West,The New Workout Plan,remove
Kanye West,Touch the Sky,keep
Kanye West,Two Words,remove
Kanye West,We Major,remove
Kendrick Lamar,HiiiPoWeR,keep
Kendrick Lamar,You Ain't Gotta Lie (Momma Said),remove
Lady Gaga,Applause,keep
Lady Gaga,Just Dance,keep
Lady Gaga,Paparazzi,keep
Lana Del Rey,Fuck it I love you,remove
Lewis OfMan,Siesta Freestyle,maybe
Lil Uzi Vert,Just Wanna Rock,keep
Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",keep
Mac Miller,Nikes on My Feet,keep
Mac Miller,ROS,remove
Madvillain,Meat Grinder,maybe
Magdalena Bay,Paint Me A Picture,keep
Marshmello,Happier,maybe
Massive Attack,Dissolved Girl,keep
MF DOOM,Doomsday,remove
MGMT,Kids,keep
MGMT,She Works Out Too Much,remove
Michael Hutchence,Slide Away,remove
MIMIDEATH,if god didnt want us to snort worms he wouldn't have made them cylindrical!,keep
Nas,It Ain't Hard to Tell,keep
Nelly Furtado,Promiscuous,keep
Nicki Minaj,Anaconda,keep
Phantogram,Mouthful of Diamonds,keep
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",keep
Sublime,Santeria,remove
SZA,Kill Bill,remove
TeddyLoid,Theme for Scanty & Knee Socks,remove
Twenty One Pilots,Nico and the Niners,maybe
Twenty One Pilots,Pet Cheetah,maybe
Twenty One Pilots,The Outside,remove
The Weeknd,Too Late,remove
XXXTENTACION,Everybody Dies in Their Nightmares,remove
